id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	coupon	partner_coupon_download	interest_free_event	point	installation_costs	pre_match_code	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender
301	다크비 DKB - GROWTH (3RD 미니앨범)	14900			http://musicbroshop.com/goods/view?no=301&market=naver	http://m.musicbroshop.com/goods/view?no=301&market=naver	http://musicbroshop.com/data/goods/8/2020/12/_tmp_532106a995d7de627d0ae524f0b020d76497view.jpg		K-POP	MUSIC	댄스				신상품											㈜카카오M	대한민국 (한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
492	정세운 정규 1집 [24] Part.2 (Zero Ver./ One Ver.) 랜덤	16400			http://musicbroshop.com/goods/view?no=492&market=naver	http://m.musicbroshop.com/goods/view?no=492&market=naver	http://musicbroshop.com/data/goods/8/2020/12/492_tmp_a29df93d97ea87036a4decc4400a22ca0601view.jpg		K-POP	MUSIC	발라드				신상품											㈜카카오M	대한민국 (한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1495	방탄소년단(BTS) - BE (Essential Edition)	19400			http://musicbroshop.com/goods/view?no=1495&market=naver	http://m.musicbroshop.com/goods/view?no=1495&market=naver	http://musicbroshop.com/data/goods/8/2021/01/_tmp_38dfc15e8e08cc87834a072c904bc7002221view.jpg		K-POP	MUSIC	댄스				신상품											(주)드림어스컴퍼니	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1585	다크비 (DKB) - THE DICE IS CAST (정규앨범)	22400			http://musicbroshop.com/goods/view?no=1585&market=naver	http://m.musicbroshop.com/goods/view?no=1585&market=naver	http://musicbroshop.com/data/goods/8/2021/03/_tmp_0598e80cbf043e40ae440580608910df1728view.jpg		K-POP	MUSIC	POP															(주)지니뮤직							0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1705	티오원 (TO1) - 1ST 미니앨범 [RE:BORN] 랜덤	16500			http://musicbroshop.com/goods/view?no=1705&market=naver	http://m.musicbroshop.com/goods/view?no=1705&market=naver	http://musicbroshop.com/data/goods/8/2021/05/1705_tmp_981b86da1f2c9983f09ad2e10eb7a4b26720view.jpg		K-POP	MUSIC	댄스															지니뮤직, 스톤뮤직엔터테인먼트	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1738	정승환 - 다섯 마디 (EP 앨범)	16500			http://musicbroshop.com/goods/view?no=1738&market=naver	http://m.musicbroshop.com/goods/view?no=1738&market=naver	http://musicbroshop.com/data/goods/8/2021/05/1738_tmp_7bf6b94688b0a5a016f1aab5a99081a09209view.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1774	주당맛집 소곱창180g	9900			http://musicbroshop.com/goods/view?no=1774&market=naver	http://m.musicbroshop.com/goods/view?no=1774&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_2ba6f9d2d1bc27ce1593a60b3131cc881784view.png		브랜드	푸드																							0.00								0	3000							
1776	주당맛집 소막창180g	9900			http://musicbroshop.com/goods/view?no=1776&market=naver	http://m.musicbroshop.com/goods/view?no=1776&market=naver	http://musicbroshop.com/data/goods/22/2021/06/1776_tmp_e7b7b89d7d7a7cb8b8a3b20853767d213450view.jpg		브랜드	푸드																							0.00								0	3000							
1777	주당맛집 소특양180g	9900			http://musicbroshop.com/goods/view?no=1777&market=naver	http://m.musicbroshop.com/goods/view?no=1777&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_6d79cfca4a42414ae7e60b03c28b41582706view.jpg		브랜드	푸드																							0.00								0	3000							
1778	방떡 방촌 원조떡볶이 546g(3인분)	4900			http://musicbroshop.com/goods/view?no=1778&market=naver	http://m.musicbroshop.com/goods/view?no=1778&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_363319245cd90e3583ed0e7434f52aad4743view.jpg		브랜드	푸드																							0.00								0	3000							
