0715-125001.486 - 24949 - GA0008737FFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2021071416383117567]
0715-125001.501 - 24949 - GA0008737FFmoqMp     - MSG : PG_서버_접속__정상
0715-125001.513 - 24949 - GA0008737FFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0715-125001.593 - 24949 - GA0008737FFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0715-125001.594 - 24949 - GA0008737FFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=21071512500210904900amount=170500auth_no=588176131tran_date=20210715125002]
0715-152004.429 -  4093 - GA0008737FFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2021071215122118072]
0715-152004.451 -  4093 - GA0008737FFmoqMp     - MSG : PG_서버_접속__정상
0715-152004.463 -  4093 - GA0008737FFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0715-152004.535 -  4093 - GA0008737FFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0715-152004.536 -  4093 - GA0008737FFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=21071515200410083421amount=393500auth_no=588179048tran_date=20210715152004]
0715-152005.560 -  4116 - GA0008737FFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2021071215251418390]
0715-152005.564 -  4116 - GA0008737FFmoqMp     - MSG : PG_서버_접속__정상
0715-152005.575 -  4116 - GA0008737FFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0715-152005.636 -  4116 - GA0008737FFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0715-152005.637 -  4116 - GA0008737FFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=21071515200610083434amount=233500auth_no=588179049tran_date=20210715152006]
