0914-102604.681 - 25124 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513380317546]
0914-102604.690 - 25124 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102604.701 - 25124 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102604.817 - 25124 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102604.818 - 25124 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260510820802amount=7500auth_no=588820935tran_date=20220914102605]
0914-102605.145 - 25126 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513371517545]
0914-102605.150 - 25126 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102605.161 - 25126 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102605.256 - 25126 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102605.258 - 25126 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260610820819amount=7500auth_no=588820936tran_date=20220914102606]
0914-102605.517 - 25128 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513363217544]
0914-102605.522 - 25128 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102605.534 - 25128 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102605.642 - 25128 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102605.644 - 25128 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260610820827amount=7500auth_no=588820937tran_date=20220914102606]
0914-102605.906 - 25130 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513351117543]
0914-102605.912 - 25130 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102605.924 - 25130 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102606.020 - 25130 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102606.021 - 25130 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260610820839amount=7500auth_no=588820938tran_date=20220914102606]
